sample_id,cluster_label
0,4
1,1
2,0
3,3
4,1
5,3
6,3
7,3
8,4
9,2
10,1
11,0
12,2
13,4
14,4
15,3
16,3
17,2
18,2
19,2
20,4
21,4
22,3
23,2
24,1
25,4
26,0
27,0
28,3
29,0
30,3
31,0
32,0
33,2
34,4
35,2
36,3
37,4
38,4
39,0
40,1
41,2
42,0
43,4
44,3
45,0
46,4
47,0
48,0
49,3
50,3
51,1
52,2
53,3
54,4
55,4
56,2
57,0
58,2
59,2
60,4
61,3
62,3
63,2
64,3
65,1
66,4
67,2
68,3
69,1
70,2
71,4
72,2
73,0
74,1
75,0
76,3
77,1
78,4
79,4
80,3
81,2
82,4
83,3
84,1
85,4
86,1
87,3
88,1
89,2
90,1
91,0
92,3
93,0
94,0
95,0
96,1
97,3
98,1
99,4
100,4
101,4
102,2
103,2
104,4
105,4
106,1
107,2
108,1
109,1
110,4
111,1
112,1
113,3
114,0
115,3
116,3
117,2
118,3
119,0
120,1
121,0
122,2
123,0
124,3
125,2
126,0
127,3
128,4
129,2
130,1
131,4
132,0
133,2
134,4
135,4
136,4
137,2
138,3
139,4
140,0
141,0
142,1
143,0
144,4
145,2
146,2
147,0
148,0
149,0
150,2
151,2
152,1
153,1
154,2
155,2
156,2
157,3
158,1
159,2
160,1
161,0
162,0
163,4
164,1
165,0
166,4
167,3
168,1
169,4
170,1
171,2
172,1
173,2
174,2
175,4
176,0
177,4
178,0
179,0
180,0
181,4
182,1
183,2
184,4
185,0
186,4
187,2
188,1
189,4
190,1
191,3
192,4
193,4
194,3
195,3
196,4
197,1
198,3
199,0
200,0
201,1
202,1
203,3
204,0
205,2
206,1
207,1
208,1
209,3
210,2
211,2
212,4
213,4
214,0
215,2
216,3
217,0
218,0
219,1
220,2
221,4
222,4
223,2
224,0
225,3
226,4
227,0
228,1
229,4
230,0
231,1
232,0
233,1
234,0
235,2
236,2
237,2
238,1
239,2
240,2
241,2
242,3
243,2
244,4
245,0
246,2
247,4
248,1
249,0
250,3
251,1
252,2
253,4
254,1
255,2
256,1
257,3
258,4
259,4
260,1
261,1
262,2
263,4
264,4
265,3
266,3
267,0
268,0
269,1
270,1
271,2
272,4
273,3
274,1
275,3
276,2
277,3
278,4
279,1
280,4
281,2
282,0
283,0
284,3
285,3
286,0
287,0
288,3
289,3
290,0
291,2
292,2
293,0
294,3
295,2
296,4
297,2
298,3
299,2
300,0
301,3
302,4
303,3
304,0
305,0
306,0
307,3
308,2
309,0
310,3
311,0
312,0
313,3
314,4
315,2
316,2
317,3
318,2
319,1
320,3
321,2
322,3
323,2
324,0
325,3
326,4
327,0
328,3
329,3
330,3
331,1
332,4
333,0
334,0
335,3
336,2
337,0
338,1
339,3
340,0
341,0
342,0
343,2
344,2
345,0
346,0
347,2
348,0
349,3
350,1
351,4
352,0
353,0
354,0
355,3
356,1
357,1
358,2
359,1
360,0
361,4
362,2
363,3
364,0
365,4
366,2
367,3
368,4
369,3
370,1
371,3
372,2
373,4
374,0
375,2
376,0
377,4
378,2
379,4
380,0
381,1
382,2
383,4
384,2
385,4
386,0
387,2
388,0
389,4
390,0
391,4
392,2
393,2
394,1
395,3
396,0
397,2
398,3
399,2
400,1
401,2
402,4
403,2
404,0
405,3
406,3
407,3
408,0
409,2
410,1
411,1
412,3
413,3
414,3
415,2
416,4
417,0
418,3
419,4
420,4
421,4
422,3
423,4
424,4
425,1
426,4
427,0
428,0
429,2
430,3
431,3
432,2
433,0
434,2
435,1
436,4
437,0
438,1
439,2
440,4
441,2
442,0
443,4
444,1
445,2
446,3
447,2
448,4
449,3
450,0
451,4
452,1
453,1
454,1
455,0
456,4
457,3
458,4
459,2
460,1
461,0
462,3
463,1
464,0
465,1
466,0
467,3
468,1
469,2
470,0
471,4
472,3
473,2
474,3
475,4
476,4
477,3
478,2
479,1
480,3
481,0
482,4
483,3
484,3
485,0
486,1
487,1
488,3
489,2
490,4
491,3
492,0
493,0
494,1
495,0
496,4
497,0
498,4
499,1
500,3
501,4
502,0
503,1
504,2
505,1
506,4
507,0
508,2
509,4
510,3
511,4
512,2
513,1
514,0
515,2
516,2
517,1
518,0
519,0
520,0
521,2
522,2
523,1
524,0
525,3
526,3
527,4
528,1
529,0
530,0
531,0
